record_id,source_id,source_short,alloy,heat,material_family,product_form,is_weld,zone,weld_process,filler_metal,ferrite_number,hydrogen_exposure,h2_pressure_MPa,hydrogen_content_wppm,charging_time_h,test_temperature_K,test_temperature_C,strain_rate_per_s,test_type,property_name,reference_environment,property_reference,property_h2,relative_ratio,embrittlement_flag,ni_equivalent,derived,verified,notes
SAND-2103-4,S2,San Marchi 2012,316,,300-series (316/317 type),sheet,no,base metal,,,,gaseous in-situ,70.0,,,295.0,21.9,0.0006,tensile,reduction of area,helium,70.0,75.0,1.071,no measurable loss,,relative_ratio,no,SAND2012-7321 chapter 2103 Table 3.1.1.1. Annealed sheet; He reference. Ref [23].
SAND-2103-5,S2,San Marchi 2012,316,R84,300-series (316/317 type),sheet,no,base metal,,,,gaseous precharge,0.5,6.0,170.0,295.0,21.9,0.0005,tensile,elongation,argon,63.0,51.0,0.81,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2103 Table 3.1.1.1. Sensitized thin sheet; precharged 0.5 MPa H2 873 K 170 h (~6 wppm), argon-exposed reference. Ref [14]."
SAND-2103-W-EB,S2,San Marchi 2012,316 EB weld,,300-series (316/317 type),weld,yes,whole joint,laser,,,gaseous in-situ,70.0,,,295.0,21.9,0.0006,tensile,reduction of area,helium,70.0,70.0,1.0,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2103 Table 4.3.1 (full-penetration butt welds, sheet). Ref [23]. Electron beam weld; no measurable loss."
SAND-2103-WN-EB,S2,San Marchi 2012,316 EB weld,,300-series (316/317 type),weld,yes,whole joint,laser,,,gaseous in-situ,70.0,,,295.0,21.9,0.0083,tensile,reduction of area,helium,65.0,60.0,0.923,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2103 Table 4.3.2, notched (V-notch 60 deg, 0.6 mm deep, root radius 0.05 mm) butt welds. Ref [23]. Electron beam weld, notched."
SAND-2103-W-GTA,S2,San Marchi 2012,316 GTA weld,,300-series (316/317 type),weld,yes,whole joint,GTAW,,,gaseous in-situ,70.0,,,295.0,21.9,0.0006,tensile,reduction of area,helium,70.0,70.0,1.0,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2103 Table 4.3.1 (full-penetration butt welds, sheet). Ref [23]. GTA weld; no measurable loss."
SAND-2103-WN-GTA,S2,San Marchi 2012,316 GTA weld,,300-series (316/317 type),weld,yes,whole joint,GTAW,,,gaseous in-situ,70.0,,,295.0,21.9,0.0083,tensile,reduction of area,helium,70.0,65.0,0.929,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2103 Table 4.3.2, notched (V-notch 60 deg, 0.6 mm deep, root radius 0.05 mm) butt welds. Ref [23]. GTA weld, notched."
FUKU24-316CW-RA,S8,Fukunaga 2024,316 cold worked (SUS316CW),,300-series (316/317 type),tube,no,base metal,,,,gaseous in-situ,70.0,7.8,,233.0,-40.1,,SSRT,reduction of area,nitrogen,85.0,78.0,0.918,moderate loss,28.5,relative_ratio,no,"Fukunaga, Engineering Failure Analysis 160 (2024) 108158. SSRT on piping removed from a hydrogen refuelling station after two years of service. 20-25% cold work, 7.8 wppm pre-contained hydrogen; 70 MPa H2 at -40 C vs nitrogen at -40 C. Nieq 28.5."
NAKA18-BM,S5,Nakamura 2018,316 hi-Ni,,300-series (316/317 type),bar,no,base metal,,,,gaseous in-situ,106.0,,,228.0,-45.1,,tensile,reduction of area,nitrogen,83.0,85.0,1.024,no measurable loss,,relative_ratio,no,"Nakamura et al., Trans. JSME 84(857) 2018, DOI 10.1299/transjsme.17-00437. SSRT at -45 C in 106 MPa H2 gas, reference 0.1 MPa nitrogen. TIG multipass welded round bar, gauge entirely weld metal (6 mm dia, 30 mm). base metal, no loss (RRA 1.02 as reported)"
MICHLER09-S7,S4,Michler 2009,316L,,300-series (316/317 type),bar,no,base metal,,,,gaseous in-situ,1.0,,,323.0,49.9,,tensile,reduction of area,helium,83.0,63.0,0.759,significant loss,,relative_ratio,no,"Michler et al. 2009 Table 2. Tested in 1 MPa H2 vs 1 MPa He at 50 C. Steel 7, drawn bar; duplex string-like alpha'/gamma after straining. bar, longitudinal orientation."
MICHLER09-S8,S4,Michler 2009,316L,,300-series (316/317 type),plate,no,base metal,,,,gaseous in-situ,1.0,,,323.0,49.9,,tensile,reduction of area,helium,80.0,43.0,0.537,significant loss,,relative_ratio,no,"Michler et al. 2009 Table 2. Tested in 1 MPa H2 vs 1 MPa He at 50 C. Steel 8, rolled plate; layered alpha'-gamma from Ni macro-segregation 9.5-13 wt%. plate, transverse orientation."
NAKA18-AW,S5,Nakamura 2018,317L weld metal,,300-series (316/317 type),weld,yes,weld metal,GTAW,317L,,gaseous in-situ,106.0,,,228.0,-45.1,,tensile,reduction of area,nitrogen,58.0,32.0,0.552,significant loss,,relative_ratio,no,"Nakamura et al., Trans. JSME 84(857) 2018, DOI 10.1299/transjsme.17-00437. SSRT at -45 C in 106 MPa H2 gas, reference 0.1 MPa nitrogen. TIG multipass welded round bar, gauge entirely weld metal (6 mm dia, 30 mm). as-welded, columnar dendrites with delta-ferrite; RRA 0.55 as reported; lamellar weld fracture surface"
NAKA18-ST,S5,Nakamura 2018,317L weld metal,,300-series (316/317 type),weld,yes,weld metal,GTAW,317L,,gaseous in-situ,106.0,,,228.0,-45.1,,tensile,reduction of area,nitrogen,84.0,76.0,0.905,moderate loss,,relative_ratio,no,"Nakamura et al., Trans. JSME 84(857) 2018, DOI 10.1299/transjsme.17-00437. SSRT at -45 C in 106 MPa H2 gas, reference 0.1 MPa nitrogen. TIG multipass welded round bar, gauge entirely weld metal (6 mm dia, 30 mm). post-weld solution treated, delta-ferrite removed; RRA 0.90 as reported"
SAND-2104-W73,S2,San Marchi 2012,321,W73,300-series stabilised (321/347),unknown,no,base metal,,,,gaseous in-situ,34.5,,,295.0,21.9,6.7e-05,tensile,reduction of area,helium,66.0,60.0,0.909,moderate loss,,relative_ratio,no,SAND2012-7321 chapter 2104 Table 3.1.1.1. Type 321. Ref [8].
SAND-2104-H73,S2,San Marchi 2012,347,H73,300-series stabilised (321/347),unknown,no,base metal,,,,gaseous in-situ,34.5,,,295.0,21.9,0.00067,tensile,reduction of area,helium,70.0,71.0,1.014,no measurable loss,,relative_ratio,no,SAND2012-7321 chapter 2104 Table 3.1.1.1. Type 347; no loss. Ref [7].
SAND-2104-L72,S2,San Marchi 2012,347,L72,300-series stabilised (321/347),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,80.0,37.0,0.463,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2104 Table 3.1.1.1. Type 347, composition not reported; large loss, an outlier among stabilized grades. Ref [13,14]."
CASKEY-T11-1-PS,S1,Caskey 1983,21-6-9,,N-strengthened (21-6-9),unknown,no,base metal,,,,gaseous precharge,30.0,,,295.0,21.9,,tensile,plastic strain to failure,uncharged,1.2,0.76,0.633,significant loss,,relative_ratio,no,"Caskey Table 11, HERF; 30 MPa H2 at 480 K for 56 days then aged 7 years at 250 K; reference = unexposed Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-5-EL,S1,Caskey 1983,21-6-9,,N-strengthened (21-6-9),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,elongation,helium,58.0,59.0,1.017,no measurable loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: annealed. Reference environment 69 MPa helium, not air. Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-5-RA,S1,Caskey 1983,21-6-9,,N-strengthened (21-6-9),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,78.0,77.0,0.987,no measurable loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: annealed. Reference environment 69 MPa helium, not air. Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-6-EL,S1,Caskey 1983,21-6-9,,N-strengthened (21-6-9),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,elongation,helium,34.0,30.0,0.882,moderate loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: HERF. Reference environment 69 MPa helium, not air. Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-6-RA,S1,Caskey 1983,21-6-9,,N-strengthened (21-6-9),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,75.0,73.0,0.973,no measurable loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: HERF. Reference environment 69 MPa helium, not air. Composition from Caskey Table A-1 (nominal)."
SAND-2202-T431-B1-EL,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous in-situ,69.0,,,295.0,21.9,0.00033,tensile,elongation,air,19.0,22.0,1.158,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. external hydrogen only"
SAND-2202-T431-B1-RA,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous in-situ,69.0,,,295.0,21.9,0.00033,tensile,reduction of area,air,60.0,75.0,1.25,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. external hydrogen only"
SAND-2202-T431-B2-EL,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous in-situ,172.0,,,295.0,21.9,0.00033,tensile,elongation,air,19.0,20.0,1.053,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. external hydrogen only"
SAND-2202-T431-B2-RA,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous in-situ,172.0,,,295.0,21.9,0.00033,tensile,reduction of area,air,60.0,69.0,1.15,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. external hydrogen only"
SAND-2202-T431-B3-EL,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous precharge,0.1,45.0,240.0,295.0,21.9,0.00033,tensile,elongation,air,19.0,18.0,0.947,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. precharged then tested"
SAND-2202-T431-B3-RA,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous precharge,0.1,45.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,60.0,56.0,0.933,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. precharged then tested"
SAND-2202-T431-B4-RA,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous precharge,69.0,45.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,60.0,50.0,0.833,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. precharged then tested"
SAND-2202-T431-B5-EL,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous precharge,0.1,72.0,240.0,295.0,21.9,0.00033,tensile,elongation,air,19.0,16.0,0.842,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. precharged then tested"
SAND-2202-T431-B5-RA,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous precharge,0.1,72.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,60.0,50.0,0.833,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. precharged then tested"
SAND-2202-T431-B6-EL,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous precharge,172.0,72.0,240.0,295.0,21.9,0.00033,tensile,elongation,air,19.0,17.0,0.895,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. precharged then tested"
SAND-2202-T431-B6-RA,S2,San Marchi 2012,21-6-9/21-6-9 weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,21-6-9,,gaseous precharge,172.0,72.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,60.0,49.0,0.817,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with 21-6-9 filler, GTA composite weld, heat B83bw. Ref [24]. precharged then tested"
SAND-2202-T431-A1-EL,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous in-situ,69.0,,,295.0,21.9,0.00033,tensile,elongation,air,14.0,14.0,1.0,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. external hydrogen only"
SAND-2202-T431-A1-RA,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous in-situ,69.0,,,295.0,21.9,0.00033,tensile,reduction of area,air,54.0,57.0,1.056,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. external hydrogen only"
SAND-2202-T431-A2-EL,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous in-situ,172.0,,,295.0,21.9,0.00033,tensile,elongation,air,14.0,15.0,1.071,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. external hydrogen only"
SAND-2202-T431-A2-RA,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous in-situ,172.0,,,295.0,21.9,0.00033,tensile,reduction of area,air,54.0,61.0,1.13,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. external hydrogen only"
SAND-2202-T431-A3-EL,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,0.1,45.0,240.0,295.0,21.9,0.00033,tensile,elongation,air,14.0,12.0,0.857,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. precharged then tested"
SAND-2202-T431-A3-RA,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,0.1,45.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,54.0,49.0,0.907,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. precharged then tested"
SAND-2202-T431-A4-RA,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,69.0,45.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,54.0,43.0,0.796,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. precharged then tested"
SAND-2202-T431-A5-EL,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,0.1,72.0,240.0,295.0,21.9,0.00033,tensile,elongation,air,14.0,12.0,0.857,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. precharged then tested"
SAND-2202-T431-A5-RA,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,0.1,72.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,54.0,44.0,0.815,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. precharged then tested"
SAND-2202-T431-A6-EL,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,172.0,72.0,240.0,295.0,21.9,0.00033,tensile,elongation,air,14.0,10.0,0.714,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. precharged then tested"
SAND-2202-T431-A6-RA,S2,San Marchi 2012,21-6-9/308L weld,,N-strengthened (21-6-9),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,172.0,72.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,54.0,44.0,0.815,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2202 Table 4.3.1. 21-6-9 HERF base with ER308L filler, GTA composite weld, heat B83aw. Ref [24]. precharged then tested"
SAND-2201-1,S2,San Marchi 2012,22-13-5,C83,N-strengthened (22-13-5),bar,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,74.0,73.0,0.986,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2201 Table 3.1.1.1 (22-13-5). As-received bar; no loss. Ref [6,9,18]."
SAND-2201-2,S2,San Marchi 2012,22-13-5,O76,N-strengthened (22-13-5),plate,no,base metal,,,,gaseous precharge,69.0,50.0,252.0,295.0,21.9,0.003,tensile,reduction of area,air,67.0,68.0,1.015,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2201 Table 3.1.1.1 (22-13-5). Annealed plate, precharged 24 MPa 473 K 10.5 d (~50 wppm) then tested in 69 MPa H2; no loss."
SAND-2201-3,S2,San Marchi 2012,22-13-5,O75,N-strengthened (22-13-5),bar,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,0.0003,tensile,reduction of area,air,66.0,67.0,1.015,no measurable loss,,relative_ratio,no,SAND2012-7321 chapter 2201 Table 3.1.1.1 (22-13-5). Warm-worked bar; no loss. Ref [17].
SAND-2201-4,S2,San Marchi 2012,22-13-5 HERF,O75,N-strengthened (22-13-5),bar,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,0.0003,tensile,reduction of area,air,20.0,29.5,1.475,no measurable loss,,relative_ratio,no,SAND2012-7321 chapter 2201 Table 3.1.1.1 (22-13-5). HERF; low ductility in both environments. Ref [17].
CASKEY-T3-3-EL,S1,Caskey 1983,310,,high-Ni austenitic (310),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,elongation,helium,67.0,66.0,0.985,no measurable loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: annealed. Reference environment 69 MPa helium, not air. stable austenite Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-3-RA,S1,Caskey 1983,310,,high-Ni austenitic (310),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,82.0,79.0,0.963,no measurable loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: annealed. Reference environment 69 MPa helium, not air. stable austenite Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-4-EL,S1,Caskey 1983,310,,high-Ni austenitic (310),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,elongation,helium,21.0,24.0,1.143,no measurable loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: HERF. Reference environment 69 MPa helium, not air. stable austenite Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-4-RA,S1,Caskey 1983,310,,high-Ni austenitic (310),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,71.0,70.0,0.986,no measurable loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: HERF. Reference environment 69 MPa helium, not air. stable austenite Composition from Caskey Table A-1 (nominal)."
SAND-1600-ANN,S2,San Marchi 2012,2507 duplex,S07,duplex,unknown,no,base metal,,,,gaseous precharge,138.0,125.0,240.0,295.0,21.9,0.0012,tensile,reduction of area,uncharged,85.0,46.0,0.541,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 1600 Table 3.1.1.1. Duplex 2507; precharged 138 MPa H2, 573 K, 240 h to saturation (125 wppm), tested in air. Ref [6]. Annealed."
SAND-1600-SH,S2,San Marchi 2012,2507 duplex,S07,duplex,unknown,no,base metal,,,,gaseous precharge,138.0,125.0,240.0,295.0,21.9,0.0012,tensile,reduction of area,uncharged,80.0,25.0,0.312,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 1600 Table 3.1.1.1. Duplex 2507; precharged 138 MPa H2, 573 K, 240 h to saturation (125 wppm), tested in air. Ref [6]. Strain-hardened."
FUKU24-A286-EL,S8,Fukunaga 2024,A286 (Fe-base superalloy),,precipitation-strengthened (A286),tube,no,base metal,,,,gaseous in-situ,70.0,,,423.0,149.9,,SSRT,elongation,air,23.0,20.0,0.87,moderate loss,,relative_ratio,no,"Fukunaga, Engineering Failure Analysis 160 (2024) 108158. SSRT on piping removed from a hydrogen refuelling station after two years of service. Elongation at break, 70 MPa H2 at 150 C vs air."
FUKU24-A286-RA,S8,Fukunaga 2024,A286 (Fe-base superalloy),,precipitation-strengthened (A286),tube,no,base metal,,,,gaseous in-situ,70.0,,,423.0,149.9,,SSRT,reduction of area,air,57.0,29.0,0.509,significant loss,34.8,relative_ratio,no,"Fukunaga, Engineering Failure Analysis 160 (2024) 108158. SSRT on piping removed from a hydrogen refuelling station after two years of service. Precipitation-strengthened iron-base superalloy, not an austenitic stainless steel; 70 MPa H2 at 150 C vs air. RRA reported as 51%. Nieq 34.8."
